sim,pTotal,topAirVeleocity, topAirTemperature
sim3135/lr0,39.1762883406963,0.1,-0.3889E+001
sim3135/lr1,164.334287528737,0.1,0.1000E+002
sim3135/lr10,4769.26388113604,1.0,0.9333E+002
sim3135/lr11,6445.69185287232,1.0,0.1489E+003
sim3135/lr12,2834.09426369466,2.5,-0.3889E+001
sim3135/lr13,3728.22676998759,2.5,0.1000E+002
sim3135/lr14,4610.32688298291,2.5,0.2389E+002
sim3135/lr15,5476.66037090389,2.5,0.3778E+002
sim3135/lr16,8766.27785468764,2.5,0.9333E+002
sim3135/lr17,11702.4242246529,2.5,0.1489E+003
sim3135/lr18,4641.7399191376,5.0,-0.3889E+001
sim3135/lr19,6017.51640592775,5.0,0.1000E+002
sim3135/lr2,295.601378883218,0.1,0.2389E+002
sim3135/lr20,7376.19204288572,5.0,0.2389E+002
sim3135/lr21,8706.3918929245,5.0,0.3778E+002
sim3135/lr22,12961.1612443574,5.0,0.9333E+002
sim3135/lr23,15161.9292133963,5.0,0.1489E+003
sim3135/lr24,7467.20809301311,10.0,-0.3889E+001
sim3135/lr25,9514.66345633568,10.0,0.1000E+002
sim3135/lr26,11235.5952092668,10.0,0.2389E+002
sim3135/lr27,12285.1292324744,10.0,0.3778E+002
sim3135/lr28,14461.6788545319,10.0,0.9333E+002
sim3135/lr29,16138.2169438609,10.0,0.1489E+003
sim3135/lr3,413.640030535587,0.1,0.3778E+002
sim3135/lr30,10940.4473601458,20.0,-0.3889E+001
sim3135/lr31,11833.7995807242,20.0,0.1000E+002
sim3135/lr32,12375.2004532724,20.0,0.2389E+002
sim3135/lr33,12856.8625161961,20.0,0.3778E+002
sim3135/lr34,14616.5811498075,20.0,0.9333E+002
sim3135/lr35,16240.5617751099,20.0,0.1489E+003
sim3135/lr4,868.700427269158,0.1,0.9333E+002
sim3135/lr5,1267.90722632341,0.1,0.1489E+003
sim3135/lr6,1418.28318450047,1.0,-0.3889E+001
sim3135/lr7,1932.47145503441,1.0,0.1000E+002
sim3135/lr8,2434.94296343122,1.0,0.2389E+002
sim3135/lr9,2924.43073350042,1.0,0.3778E+002
